"model","coverage_days","capacity_bytes","capacity_tb","replacement_cost_usd","p_fail_within_coverage","expected_loss_usd"
"HGST HMS5C4040ALE640",30,4000787030016,4.000787030016,100.0196757504,0.000956312701433593,0.095650086313377
"HGST HMS5C4040BLE640",30,4000787030016,4.000787030016,100.0196757504,0.000376011622759687,0.0376085605868056
"HGST HUH721212ALE604",30,12000138625024,12.000138625024,300.0034656256,0.00184976716208041,0.554936559224553
"HGST HUH721212ALN604",30,12000138625024,12.000138625024,300.0034656256,0.00115482490904795,0.346451474905152
"ST12000NM0007",30,12000138625024,12.000138625024,300.0034656256,0.00501147224220466,1.50345904054789
"ST12000NM0008",30,12000138625024,12.000138625024,300.0034656256,0.00416768951749935,1.25032129890129
"ST12000NM001G",30,12000138625024,12.000138625024,300.0034656256,0.00237570287065614,0.712719094493528
"ST14000NM001G",30,14000519643136,14.000519643136,350.0129910784,0.00507466410634849,1.77619836258123
"ST16000NM001G",30,16000900661248,16.000900661248,400.0225165312,0.00307316731475216,1.22933612296859
"ST4000DM000",30,4000787030016,4.000787030016,100.0196757504,0.00212483382833795,0.212525190533843
"ST8000DM002",30,8001563222016,8.001563222016,200.0390805504,0.00174566323851522,0.349200869183217
"ST8000NM0055",30,8001563222016,8.001563222016,200.0390805504,0.002274912338882,0.455071372602714
"TOSHIBA MG07ACA14TA",30,14000519643136,14.000519643136,350.0129910784,0.00286903806904693,1.00420059606491
"TOSHIBA MG08ACA16TE",30,16000900661248,16.000900661248,400.0225165312,0.00818003805587952,3.27219940843391
"WDC WUH721414ALE6L4",30,14000519643136,14.000519643136,350.0129910784,0.00107835437564185,0.377438040460886
"HGST HMS5C4040ALE640",90,4000787030016,4.000787030016,100.0196757504,0.00130038900954088,0.130064487083663
"HGST HMS5C4040BLE640",90,4000787030016,4.000787030016,100.0196757504,0.000511352073918503,0.0511452686276232
"HGST HUH721212ALE604",90,12000138625024,12.000138625024,300.0034656256,0.00251489885173684,0.754478371218893
"HGST HUH721212ALN604",90,12000138625024,12.000138625024,300.0034656256,0.00157026872053589,0.471086058124245
"ST12000NM0007",90,12000138625024,12.000138625024,300.0034656256,0.00680959198588638,2.04290119526223
"ST12000NM0008",90,12000138625024,12.000138625024,300.0034656256,0.00566392207758315,1.69919625230829
"ST12000NM001G",90,12000138625024,12.000138625024,300.0034656256,0.00322964218865529,0.968903849327235
"ST14000NM001G",90,14000519643136,14.000519643136,350.0129910784,0.00689537845577826,2.41347203792451
"ST16000NM001G",90,16000900661248,16.000900661248,400.0225165312,0.00417728277416995,1.6710071675859
"ST4000DM000",90,4000787030016,4.000787030016,100.0196757504,0.00288872964719677,0.288929802643189
"ST8000DM002",90,8001563222016,8.001563222016,200.0390805504,0.00237340619258641,0.474773992537612
"ST8000NM0055",90,8001563222016,8.001563222016,200.0390805504,0.00309267899213894,0.618656662025012
